name;TIPOLOGIA;OID_;PARK_ID;area;Centroid_X;Centroid_Y;Perimeter;id;long;lat
Jardins da Fundação Calouste Gulbenkian;;15;22;79393.2100000000;-9.1500000000;38.7400000000;1575.0500000000;Lx043;-9.1539357363;38.7368685032
Jardim Alfredo Keil / Jardim da Alegria;;16;23;3051.2200000000;-9.1500000000;38.7200000000;207.2090000000;Lx044;-9.1453426979;38.7179029892
Jardim Cinco de Outubro - Jardim da Burra;;17;24;1776.6200000000;-9.1600000000;38.7100000000;220.9230000000;Lx045;-9.1600959342;38.7130906432
Jardim Guerra Junqueiro - Jardim da Estrela;;18;25;46862.9300000000;-9.1600000000;38.7100000000;927.0610000000;Lx046;-9.1591816104;38.7147176024
Jardim Fialho de Almeida;;19;26;1428.1600000000;-9.1500000000;38.7200000000;152.9760000000;Lx047;-9.1516611792;38.7150578017
Jardim da Praça de Londres;;20;27;2969.3100000000;-9.1400000000;38.7400000000;351.2730000000;Lx048;-9.1372853699;38.7405162713
Jardim da Praça do Império;;21;28;26929.5900000000;-9.2100000000;38.7000000000;657.3400000000;Lx049;-9.2060682252;38.6960545426
Viveiro da Quinta de Vila Correia;Viveiro;0;0;11801.3700000000;-9.2100000000;38.7000000000;687.0890000000;Lx009;-9.2134436628;38.6965973137
Corredor Verde de Monsanto: Jardim Amnistia Internacional - Jardins de Campolide;Espaços Verdes Urbanos;22;30;32869.2200000000;-9.1600000000;38.7400000000;1031.7200000000;Lx050;-9.1648740740;38.7362739963
Palácio Pimenta - Museu da Cidade;;23;31;15125.7900000000;-9.1600000000;38.7600000000;550.1560000000;Lx051;-9.1571867499;38.7581808529
PFM: Parque da Pedra;;24;32;141101.1700000000;-9.1800000000;38.7300000000;2190.5600000000;Lx052;-9.1768320182;38.7303722711
Parque Urbano do Vale Chelas;Espaços Verdes Centrais;25;33;156149.3900000000;-9.1200000000;38.7500000000;3296.1800000000;Lx053;-9.1216131288;38.7545615447
Jardim da Quinta Alegre - Campo das Amoreiras;;26;34;26781.0500000000;-9.1400000000;38.7900000000;850.5400000000;Lx054;-9.1432729874;38.7866098137
PFM: Parque Recreativo do Calhau;;27;35;249303.8000000000;-9.1800000000;38.7400000000;2368.9200000000;Lx055;-9.1768639662;38.7373583152
